time,open,high,low,close,Volume
1981-01-02,1.5341,1.5341,1.5341,1.5341,0
1981-01-05,1.5418,1.5418,1.5418,1.5418,0
1981-01-06,1.5264,1.5264,1.5264,1.5264,0
1981-01-07,1.5264,1.5264,1.5264,1.5264,0
1981-01-08,1.5264,1.5264,1.5264,1.5264,0
1981-01-09,1.5371,1.5371,1.5371,1.5371,0
1981-01-12,1.5371,1.5371,1.5371,1.5371,0
1981-01-13,1.5449,1.5449,1.5449,1.5449,0
1981-01-14,1.5449,1.5449,1.5449,1.5449,0
1981-01-15,1.5449,1.5449,1.5449,1.5449,0
1981-01-16,1.5557,1.5557,1.5557,1.5557,0
1981-01-19,1.5557,1.5557,1.5557,1.5557,0
1981-01-20,1.5557,1.5557,1.5557,1.5557,0
1981-01-21,1.5557,1.5557,1.5557,1.5557,0
1981-01-22,1.551,1.551,1.551,1.551,0
1981-01-23,1.551,1.551,1.551,1.551,0
1981-01-26,1.5634,1.5634,1.5634,1.5634,0
1981-01-27,1.5759,1.5759,1.5759,1.5759,0
1981-01-28,1.5822,1.5822,1.5822,1.5822,0
1981-01-29,1.5886,1.5886,1.5886,1.5886,0
1981-01-30,1.5886,1.5886,1.5886,1.5886,0
1981-02-02,1.6108,1.6108,1.6108,1.6108,0
1981-02-03,1.6108,1.6108,1.6108,1.6108,0
1981-02-04,1.6028,1.6028,1.6028,1.6028,0
1981-02-05,1.6028,1.6028,1.6028,1.6028,0
1981-02-06,1.6028,1.6028,1.6028,1.6028,0
1981-02-09,1.6059,1.6059,1.6059,1.6059,0
1981-02-10,1.6059,1.6059,1.6059,1.6059,0
1981-02-11,1.6059,1.6059,1.6059,1.6059,0
1981-02-13,1.6285,1.6285,1.6285,1.6285,0
1981-02-17,1.6579,1.6579,1.6579,1.6579,0
1981-02-18,1.6298,1.6298,1.6298,1.6298,0
1981-02-19,1.6298,1.6298,1.6298,1.6298,0
1981-02-20,1.6021,1.6021,1.6021,1.6021,0
1981-02-23,1.5909,1.5909,1.5909,1.5909,0
1981-02-24,1.6099,1.6099,1.6099,1.6099,0
1981-02-25,1.6035,1.6035,1.6035,1.6035,0
1981-02-26,1.6179,1.6179,1.6179,1.6179,0
1981-02-27,1.6179,1.6179,1.6179,1.6179,0
1981-03-02,1.6293,1.6293,1.6293,1.6293,0
1981-03-03,1.6456,1.6456,1.6456,1.6456,0
1981-03-04,1.6374,1.6374,1.6374,1.6374,0
1981-03-05,1.6456,1.6456,1.6456,1.6456,0
1981-03-06,1.6456,1.6456,1.6456,1.6456,0
1981-03-09,1.6456,1.6456,1.6456,1.6456,0
1981-03-10,1.6407,1.6407,1.6407,1.6407,0
1981-03-11,1.6407,1.6407,1.6407,1.6407,0
1981-03-12,1.6407,1.6407,1.6407,1.6407,0
1981-03-13,1.6407,1.6407,1.6407,1.6407,0
1981-03-16,1.6402,1.6402,1.6402,1.6402,0
1981-03-17,1.6309,1.6309,1.6309,1.6309,0
